,time,distance,heuristic,cityDep_id,cityArr_id
0,8697,219479,203383.07458159703,1000,1
1,26470,777703,662809.8301237496,10000,1
2,6700,140256,114413.71561540448,100000,1
3,32751,1004736,834880.1495093731,1000,2
4,1179,5229,2471.3544696056697,10000,2
5,32090,933523,771328.3356872234,100000,2
6,22237,691051,559067.6362196484,1000,3
7,11023,313672,276256.39396953693,10000,3
8,21576,619838,499194.4906297873,100000,3
9,30003,892091,792345.6533608058,1000,4
10,14039,404884,319910.44065169635,10000,4
11,28010,822007,703731.2520410417,100000,4
12,37203,1155781,833483.7377705812,1000,5
13,7628,197238,158326.98245984578,10000,5
14,36542,1084568,785712.26483313,100000,5
15,20690,599880,508373.70142066624,1000,6
16,32000,985796,695606.370185396,10000,6
17,17818,505482,411148.0547520185,100000,6
18,17865,520566,407163.25209927064,1000,7
19,27591,804801,616644.5467615615,10000,7
20,17598,521805,422308.75734531786,100000,7
21,31675,987652,785036.8964493532,1000,8
22,6448,167247,124812.91129314377,10000,8
23,30156,893817,711006.5999497266,100000,8
24,27081,800395,700230.7943438378,1000,9
25,21552,643912,504606.8144028054,10000,9
26,25088,730311,603177.9666678326,100000,9
27,19057,564305,446182.89057224285,1000,10
28,33879,1046186,764126.7139873344,10000,10
29,15185,438993,353646.1723796366,100000,10
30,10909,314155,244702.92032171178,1000,11
31,31909,963700,798634.8092110781,10000,11
32,6791,178694,161758.16357589772,100000,11
33,7150,206485,168441.3324392816,1000,12
34,25767,796032,670678.67228205,10000,12
35,6608,178723,144484.14265744825,100000,12
36,303,1217,421.4113643653723,1000,13
37,32301,1000064,835189.2077660419,10000,13
38,5718,143986,98895.25926253821,100000,13
39,24297,747768,586922.1516965765,1000,14
40,11574,331408,250111.38415874948,10000,14
41,23636,676555,520979.32773942675,100000,14
42,34554,1065664,864163.5664533776,1000,15
43,3292,67635,49889.24365048601,10000,15
44,33893,994451,804050.7566367018,100000,15
45,17602,511976,440141.50060016563,1000,16
46,29685,906197,655214.0478759196,10000,16
47,14730,417578,341662.53116527613,100000,16
48,26114,756623,599395.7927292592,1000,17
49,42365,1283716,950890.2680367457,10000,17
50,21996,621162,520670.6490506581,100000,17
51,25518,803754,639377.4577952934,1000,18
52,10552,308472,210050.16273148794,10000,18
53,24857,732541,585564.8614759148,100000,18
54,16738,503267,395316.0661047505,1000,19
55,17116,501927,448411.6602085147,10000,19
56,16196,475505,349864.1522872672,100000,19
57,15237,424767,359305.72561335354,1000,20
58,29617,890303,660012.5598221244,10000,20
59,12336,335132,260622.54189472107,100000,20
60,21383,637361,539585.9721475613,1000,21
61,16355,473178,330985.4206283164,10000,21
62,19390,567277,461377.6799509792,100000,21
63,5320,139027,98081.15100399767,1000,22
64,31422,921036,771549.7213071567,10000,22
65,346,1226,718.5878682973633,100000,22
66,20643,605378,548969.2224879876,1000,23
67,23079,692098,432975.4644663192,10000,23
68,18650,535294,456903.44166817144,100000,23
69,31590,983759,809985.2274551321,1000,24
70,2089,32355,26893.24740580308,10000,24
71,30929,912546,747308.7179932686,100000,24
72,30363,943848,762780.4159221984,1000,25
73,5128,123559,101704.70406943394,10000,25
74,29702,872635,692496.8450245983,100000,25
75,16070,455309,401260.57236765506,1000,26
76,26399,798139,584135.9146264024,10000,26
77,14077,385225,303610.0231679419,100000,26
78,33785,985494,811186.8194559205,1000,27
79,12503,337555,255437.6196971724,10000,27
80,31792,915410,726663.3928510739,100000,27
81,12346,361504,277623.1539714656,1000,28
82,25279,767056,652670.4596091739,10000,28
83,12142,362958,292277.3475794989,100000,28
84,22374,697464,557849.4226959693,1000,29
85,11146,318321,277710.2671626661,10000,29
86,21713,626251,498428.253182748,100000,29
87,18880,583795,434131.097677069,1000,30
88,19123,566803,443190.34793169476,10000,30
89,18338,556033,402930.8104000818,100000,30
90,13253,385356,293371.37787122716,1000,31
91,32880,1002317,789067.6272936914,10000,31
92,9135,249895,206840.83770198593,100000,31
93,12630,345711,313828.9584880298,1000,32
94,25014,772923,580866.9375861819,10000,32
95,10637,275627,222029.6686246389,100000,32
96,21918,634755,445948.03815200966,1000,33
97,23680,690954,518858.58239442715,10000,33
98,21651,635994,439509.7325492768,100000,33
99,9095,256687,194807.51092982263,1000,34
100,29744,902261,758089.9258928819,10000,34
101,4977,121226,101303.14538652755,100000,34
102,35254,1069695,884790.5138629193,1000,35
103,11318,323931,213652.88457922454,10000,35
104,33261,999611,803971.3924559677,100000,35
105,8209,225933,208589.0468153242,1000,36
106,25612,774836,661675.0674488104,10000,36
107,6296,151967,118138.37358220298,100000,36
108,14964,418425,312743.4879182291,1000,37
109,23654,711415,603111.6250414382,10000,37
110,14693,381173,313843.9017432522,100000,37
111,804,12076,10283.450413693463,1000,38
112,32550,1009460,840890.1440404875,10000,38
113,5967,153382,109007.40826820413,100000,38
114,7926,221119,196146.2842731297,1000,39
115,27002,798789,673692.8714483042,10000,39
116,5153,129001,105156.67723955665,100000,39
117,950,14070,11105.508919968644,1000,40
118,32696,1011454,842953.4970680105,10000,40
119,6113,155376,109873.67414614052,100000,40
120,11012,301810,241027.2582087343,1000,41
121,27718,840161,682821.1796849882,10000,41
122,8503,216142,142461.2198775398,100000,41
123,37502,1152161,829729.0588857528,1000,42
124,7927,193618,148035.58616601894,10000,42
125,36841,1080948,780904.4030012073,100000,42
126,9126,240252,214644.4844831789,1000,43
127,25673,777829,661590.5183403655,10000,43
128,6617,154584,122370.26792917069,100000,43
129,30050,916251,755206.7409837929,1000,44
130,4773,105964,85353.61595693133,10000,44
131,29389,845038,688794.5146115216,100000,44
132,19384,553145,493443.486318342,1000,45
133,28113,777253,539616.7447923046,10000,45
134,17391,483061,396202.1301460321,100000,45
135,7892,225197,202552.15322323528,1000,46
136,26351,792119,669932.9390949244,10000,46
137,5384,139529,110887.50291849805,100000,46
138,33531,1009176,856543.3178602213,1000,47
139,20040,591594,464677.3796292306,10000,47
140,31538,939092,761650.5463217098,100000,47
141,23678,685916,586491.4097299798,1000,48
142,27058,823326,606305.1743982092,10000,48
143,21232,597258,487703.8357427724,100000,48
144,4289,114365,94053.72950266355,1000,49
145,34189,1069516,892864.4213595858,10000,49
146,5724,157469,122022.67242499843,100000,49
147,8110,223284,199694.24005205015,1000,50
148,26705,784258,670255.5800998262,10000,50
149,5601,137616,108865.54899749161,100000,50
150,16381,463058,397908.31186385953,1000,51
151,21808,648297,481599.6663580553,10000,51
152,14388,392974,312995.55833785475,100000,51
153,8278,228271,204320.74378136164,1000,52
154,26409,780482,668220.1059246416,10000,52
155,5770,142602,112739.36655175885,100000,52
156,36705,1140137,841930.7765524369,1000,53
157,7131,181595,144755.44697235207,10000,53
158,36044,1068924,792566.656680513,100000,53
159,3773,85348,68040.73451845431,1000,54
160,35410,1079680,892368.4795263065,10000,54
161,7934,204949,128764.51747259997,100000,54
162,25099,720831,586344.2704826389,1000,55
163,19858,501640,332405.7343488214,10000,55
164,23106,650747,502187.08891416725,100000,55
165,22192,652560,535715.3285494398,1000,56
166,34112,1049498,740022.5735262659,10000,56
167,19320,558162,440373.6523500903,100000,56
168,36836,1133277,842718.382896855,1000,57
169,7261,174734,136101.4689259206,10000,57
170,36175,1062064,792425.3557527746,100000,57
171,37844,1040933,766011.8596646653,1000,58
172,9624,202175,141692.41676170443,10000,58
173,37183,969720,715549.4570806585,100000,58
174,26877,779219,596727.0595379007,1000,59
175,39937,1217944,902983.7071586237,10000,59
176,22655,646507,512709.8312382523,100000,59
177,25659,792509,648745.3249531316,1000,60
178,7838,213722,186076.71941773972,10000,60
179,24998,721296,585953.0429497542,100000,60
180,672,8872,7726.780819934137,1000,61
181,32418,1006256,839455.5709403203,10000,61
182,5835,150178,106477.39117862566,100000,61
183,24222,675541,596590.3072967194,1000,62
184,25749,756048,508838.1420488841,10000,62
185,22229,605457,499570.195698884,100000,62
186,7452,207932,194122.250210292,1000,63
187,26752,795095,666619.5881585483,10000,63
188,5910,144031,107542.12577627294,100000,63
189,10949,327184,269570.936646431,1000,64
190,22513,686605,565879.3481664446,10000,64
191,10407,299422,220147.20025486453,100000,64
192,24753,717790,567266.6343646123,1000,65
193,37813,1156515,841839.1739296243,10000,65
194,20531,585078,478567.33577751956,100000,65
195,4141,108289,88195.46643023672,1000,66
196,28904,894828,746755.9799167644,10000,66
197,3717,84371,71027.95280376948,100000,66
198,34448,1063654,865023.8869235751,1000,67
199,3186,65625,47037.78559029845,10000,67
200,33787,992441,804495.283786295,100000,67
201,9064,238522,216565.51877891735,1000,68
202,25104,760179,651701.3127478797,10000,68
203,7164,168981,127368.89378440863,100000,68
204,7876,221003,202903.4527343439,1000,69
205,26275,782350,666359.0578514931,10000,69
206,5742,145293,112545.60364251793,100000,69
207,21788,625450,546433.1779745785,1000,70
208,26886,823145,570325.7252091162,10000,70
209,19795,555366,447989.97649108875,100000,70
210,8744,208466,151667.74475787964,1000,71
211,28469,877761,722019.3814516102,10000,71
212,9209,237111,174413.1720901872,100000,71
213,25348,797891,602422.5586742455,1000,72
214,12671,369491,256685.04108517908,10000,72
215,24687,726678,553243.0296801477,100000,72
216,6885,193566,150810.88399215674,1000,73
217,29520,861846,728156.707288351,10000,73
218,3030,66039,53533.5780502066,100000,73
219,27269,809672,705135.2741055219,1000,74
220,21186,641801,507260.7787015221,10000,74
221,25276,739588,608015.8689011218,100000,74
222,22270,700811,566882.0635004959,1000,75
223,10278,305743,268530.8176808763,10000,75
224,21609,629598,507048.88455682417,100000,75
225,64541,1349831,1062611.3299376112,1000,76
226,33279,351802,315436.7566547617,10000,76
227,63880,1278618,1017586.1163064066,100000,76
228,23167,675688,536837.0102738302,1000,77
229,35721,1099768,798262.1201389715,10000,77
230,18945,542976,445354.19821249874,100000,77
231,28279,843903,747553.0401197947,1000,78
232,15525,453637,333510.3068162453,10000,78
233,26286,773819,658199.4333597815,100000,78
234,26801,831870,635735.473696347,1000,79
235,11835,336588,222084.43977528598,10000,79
236,26140,760657,584560.4328993545,100000,79
237,35069,1082578,867761.8941967123,1000,80
238,3807,84549,63798.24636795666,10000,80
239,34408,1011365,809000.3460603134,100000,80
240,8850,229888,210038.46459034464,1000,81
241,26014,776418,659493.8417429195,10000,81
242,6937,155922,119965.63766634083,100000,81
243,5600,143330,98792.34701699154,1000,100000
244,31929,931047,771035.4895473315,10000,100000
245,32590,1002260,834819.9837316566,1000,10000
